"gene","logFC","AveExpr","t","P.Value","adj.P.Val","qvalue","B"
"RP11-758P17.3",0.105033740166032,-0.716202131341608,0.912291696527755,0.362828559981232,0.404852102593925,0.0539790157336336,-6.9160377941662
"ENTPD1",-0.0521335683170502,4.98677029830928,-0.911608591726216,0.363187196622176,0.405233842457751,0.0540299131897258,-7.71742344764964
"GLB1",0.0328679177020328,4.90682301960741,0.911317118792791,0.363340290799639,0.405386219647632,0.0540502296724052,-7.71230091975127
"SELENOK",0.0374836460552231,4.36885266204589,0.911168253266425,0.363418497111005,0.405455032846884,0.0540594045506911,-7.66904820672227
"CRHBP",-0.141948097780157,-0.374942366564985,-0.910639492518629,0.363696366724867,0.405746587966322,0.0540982776559029,-6.98602142618492
"MYL6P1",-0.0874826063308578,0.5593771519783,-0.910434107932765,0.363804334715241,0.405848579701434,0.0541118762353324,-7.16053423247044
"RP11-681N23.1",-0.144966431578759,-2.10914529181896,-0.910190387718351,0.363932481464138,0.405973071918882,0.0541284748087899,-6.66615292436331
"RPS2P2",-0.126577553008581,-2.22637670756445,-0.909632774334715,0.364225778548005,0.406281772532878,0.0541696339263865,-6.64610393460985
"SLC35F2",-0.0401102389305435,5.27914550650279,-0.908827804662321,0.364649444393318,0.406735860485644,0.054230177568348,-7.73610683958757
"SCOC",0.0596848976931828,4.78270867138117,0.908669333620844,0.364732886296173,0.406810433135034,0.0542401203553286,-7.70587893867963
"ANAPC15",0.0520129690012291,4.61404529810314,0.908368339213416,0.364891406074468,0.406959423522746,0.0542599852749645,-7.69297881410057
"CTD-2554C21.1",0.0345855614981529,2.84965067422181,0.908352689111925,0.364899649442913,0.406959423522746,0.0542599852749645,-7.49980287513308
"ATP6V0A2",0.0370661607405547,4.60486002384957,0.908159738275508,0.365001291957768,0.407054273399115,0.0542726316288702,-7.69248704823748
"CLN8",-0.0430076418520024,5.48145235147276,-0.9077479248725,0.365218286386266,0.407268233100898,0.0543011589207747,-7.74601257815046
"GALNT7",0.0903803116775386,2.91735254447362,0.907732613642266,0.365226355809171,0.407268233100898,0.0543011589207747,-7.5085006620017
"PLEKHG1",-0.0461659569378634,4.68010901543877,-0.90711162917935,0.365553725633017,0.407614755754268,0.0543473608588121,-7.69980067413426
"SYCP2",-0.106369800049791,0.504846436088425,-0.906304626892422,0.365979435988971,0.408070897624214,0.0544081783499819,-7.15503974878338
"AC079742.4",0.0518659073729913,2.2131254779662,0.906246905274134,0.36600989728177,0.408086311219931,0.0544102334479309,-7.4172827287785
"LRCH4",-0.061582334948137,4.19393652432562,-0.906086691901565,0.366094454662826,0.408162035634991,0.0544203298000697,-7.65750066171685
"MYO1C",-0.0460957773142959,7.71343264711632,-0.906054715252652,0.366111332763079,0.408162300350566,0.0544203650946529,-7.76440122175573
"SNHG4",0.0603033657765022,1.15116162459364,0.905868638927922,0.366209558359561,0.408241096961291,0.054430871063284,-7.26144347055267
"FAM127B",-0.0511674197698163,4.65276499684621,-0.9058577647627,0.366215299104668,0.408241096961291,0.054430871063284,-7.69877779897816
"RPS7P1",0.0511692783323764,7.53523054470064,0.904360150214065,0.367006468135203,0.409104465116354,0.0545459841204411,-7.76805862071806
"CRKL",-0.0244719437969437,6.5082364694492,-0.904206306200333,0.3670878025964,0.409176533609838,0.0545555930277897,-7.77146754689385
"IGKJ2",-0.342495079192157,-1.97966247614283,-0.903769254482193,0.367318925481813,0.409415550496134,0.0545874611993596,-6.69607731372987
"RP5-1071N3.1",-0.1454687668963,-2.1804054275745,-0.90367336117652,0.36736964826969,0.409453479927249,0.0545925183383638,-6.65967646541956
"NMNAT1",0.0552374681071958,2.9490144823917,0.903551224559852,0.367434258834539,0.409506883891929,0.0545996387001731,-7.51656042032827
"RP11-351I24.3",-0.0702251576732062,0.974023449153219,-0.90280183698452,0.367830842916445,0.409930251944867,0.0546560864514487,-7.2367472427623
