gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
RSPO1,2,-0.971,0.065,-14.93,2.12614688923873e-50,2.16395532739954e-48,0,0,0.77,down
KYNU,3,4.652,0.312,14.89,3.96168823209594e-50,4.01468224351229e-48,56.7,0.1516,4.62,up
RP11-334C17.5,3,0.926,0.062,14.88,4.26710592961393e-50,4.3055466683764e-48,0,0,1.82,up
TXNIP,3,-1.238,0.083,-14.88,4.60032663125549e-50,4.62184747257767e-48,37.5,0.0078,3.2,down
MYZAP,3,1.126,0.076,14.85,7.10652199646439e-50,7.10925527415534e-48,19.6,0.0039,2.49,up
AP000322.53,2,2.205,0.149,14.81,1.26240955250275e-49,1.25752107295902e-47,0,0,0.87,up
KCNB1,2,-1.525,0.103,-14.81,1.27984010203366e-49,1.26948207408923e-47,0,0,0.34,down
RP11-64D22.1,2,-1.195,0.081,-14.81,1.34828371551031e-49,1.33172883950974e-47,0,0,0.82,down
HSH2D,3,1.085,0.073,14.79,1.5810537367904e-49,1.55507928254313e-47,0,0,1.31,up
NSF,3,0.429,0.029,14.78,1.90475613920432e-49,1.86562495659556e-47,0,0,1.91,up
GS1-259H13.2,2,-1.226,0.083,-14.78,1.96084114114729e-49,1.91255542804654e-47,0,0,0.58,down
ADGRA3,3,-0.487,0.033,-14.77,2.16441343228094e-49,2.10235493926409e-47,0,0,0.57,down
NCAPG2,3,0.692,0.047,14.76,2.475168306159e-49,2.38556173855015e-47,27.2,0.0019,2.75,up
MIR3142HG,3,1.894,0.128,14.76,2.48391804960868e-49,2.38556173855015e-47,0,0,0.23,up
GATM-AS1,2,-1.792,0.121,-14.76,2.4865524550653e-49,2.38556173855015e-47,0,0,0.16,down
NT5C3A,3,1.752,0.119,14.74,3.83827445510939e-49,3.66735374365941e-47,53.5,0.0203,4.3,up
SLC26A4,3,2.137,0.145,14.7,6.0719950795238e-49,5.77802165921027e-47,0,0,1.39,up
FOXRED2,3,0.87,0.059,14.7,6.45732764731679e-49,6.11982116988011e-47,32.9,0.0037,2.98,up
